priority,expected_input,source_family,target_output_path,classification,planned_action,dry_run_mode,execute_downloads_requested,command_selected,command_executed,command_exit_code,command_output_excerpt,required_env_vars,missing_env_vars,expected_schema,expected_acceptance_gate,blocker_reason,forbidden_artifact_usage
1,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,data/staging/processed/pr_contracts_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/deduplicate_master.py,False,,,,,contract_id|vendor_name|agency_name|award_date|obligated_amount|pop_state|source_file|fiscal_year,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
2,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,data/staging/processed/pr_grants_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_grants.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
3,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,data/staging/processed/pr_subawards_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_subawards.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
4,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,data/staging/processed/pr_fema_pa_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_fema.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
5,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,data/staging/processed/pr_fema_hmgp_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_fema.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
6,data/staging/processed/pr_research_master.csv,federal_research,data/staging/processed/pr_research_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_research.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
7,data/staging/processed/pr_sba_loans_master.csv,sba_loans,data/staging/processed/pr_sba_loans_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_sba.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
8,data/staging/processed/pr_slfrf_master.csv,slfrf,data/staging/processed/pr_slfrf_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_slfrf.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
9,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,data/staging/processed/pr_cdbg_dr_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_cdbg_dr.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
10,data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,data/staging/processed/pr_dot_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_dot.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
11,data/staging/processed/pr_usda_master.csv,federal_sectoral_usda,data/staging/processed/pr_usda_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_usda.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
12,data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,data/staging/processed/pr_doe_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_doe.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
13,data/staging/processed/pr_hud_master.csv,hud_cdbg,data/staging/processed/pr_hud_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_hud.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
14,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,data/staging/processed/pr_sbir_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_sbir.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
15,data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,data/staging/processed/pr_epa_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_epa.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
16,data/staging/processed/pr_usace_civil_master.csv,federal_sectoral_usace,data/staging/processed/pr_usace_civil_master.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_usace_civil.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
17,data/staging/processed/pr_wioa_grants.csv,federal_sectoral_wioa,data/staging/processed/pr_wioa_grants.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/download_wioa.py --force,False,,,,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,dry-run default mode,False
18,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,data/staging/expansion/expansion_idv_indirect_pr.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/auto_download.py --only usaspending --force,False,,,,,Award ID|Recipient Name|Awarding Agency|Awarding Sub Agency|Total Obligation|Start Date|Place of Performance State Code|Place of Performance City|Description|generated_internal_id,file_exists AND rows>0 AND lineage_manifest_present AND window_coverage_verified,dry-run default mode,False
19,data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2001_2015.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/auto_download.py --only usaspending --force,False,,,,,Award ID|Recipient Name|Awarding Agency|Awarding Sub Agency|Total Obligation|Start Date|Place of Performance State Code|Place of Performance City|Description|generated_internal_id,file_exists AND rows>0 AND lineage_manifest_present AND window_coverage_verified,dry-run default mode,False
20,data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_federal_awards_backbone,data/staging/expansion/expansion_dod_upr_2016_2025.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/auto_download.py --only usaspending --force,False,,,,,Award ID|Recipient Name|Awarding Agency|Awarding Sub Agency|Total Obligation|Start Date|Place of Performance State Code|Place of Performance City|Description|generated_internal_id,file_exists AND rows>0 AND lineage_manifest_present AND window_coverage_verified,dry-run default mode,False
21,data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_federal_awards_backbone,data/staging/expansion/expansion_reconstruction_2017_2025.csv,dry_run_ready,emit_dry_run_plan,True,False,DRY_RUN: python scripts/auto_download.py --only usaspending --force,False,,,,,Award ID|Recipient Name|Awarding Agency|Awarding Sub Agency|Total Obligation|Start Date|Place of Performance State Code|Place of Performance City|Description|generated_internal_id,file_exists AND rows>0 AND lineage_manifest_present AND window_coverage_verified,dry-run default mode,False
