alias_count,avg_confidence,canonical_name,cleaned_name,continuity_score,dataset_count,datasets,entity_id,export_status,generic_ratio,manual_review_reason,merged_dataset_count,merged_datasets,merged_temporal_edges,milestone_type_count,milestone_types,normalized_name,qa_reason,qa_status,sector,temporal_edges
2,0.75,AIREKO,AIREKO SERVICES INSTALATION INC,438.75,2,"{""pr_contracts_master.csv"": 157, ""pr_subawards_master.csv"": 270}",prepa:aireko_services_instalation_inc,export_ready,0.5,strict_validated,2,pr_contracts_master.csv;pr_subawards_master.csv,512,4,"{""restructuring"": 103, ""reconstruction"": 118, ""privatization"": 134, ""generation"": 72}",AIREKO SERVICES INSTALATION INC,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,427
1,0.75,GENERAL MOTRIZ AUTO PARTS,GENERAL MOTRIZ AUTO PARTS,378.75,2,"{""pr_contracts_master.csv"": 180, ""pr_subawards_master.csv"": 187}",prepa:general_motriz_auto_parts,export_ready,0.5,strict_validated,2,pr_contracts_master.csv;pr_subawards_master.csv,367,4,"{""restructuring"": 59, ""reconstruction"": 64, ""privatization"": 109, ""generation"": 135}",GENERAL MOTRIZ AUTO PARTS,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,367
1,0.75,AECOM,AECOM ENVIRONMENTAL CONSULTING,313.75,2,"{""pr_contracts_master.csv"": 56, ""pr_subawards_master.csv"": 246}",prepa:aecom_environmental_consulting_1178_paysphere_circle_chicago_il,export_ready,0.5,strict_validated,2,pr_contracts_master.csv;pr_subawards_master.csv,302,4,"{""restructuring"": 79, ""reconstruction"": 82, ""generation"": 65, ""privatization"": 76}",AECOM ENVIRONMENTAL CONSULTING 1178 PAYSPHERE CIRCLE CHICAGO IL,multi_dataset_or_high_temporal_support,validated,infrastructure_contractor,302
2,0.75,PUMA ENERGY CARIBE,PUMA ENERGY CARIBE LLC,102.25,3,"{""pr_contracts_master.csv"": 44, ""pr_subawards_master.csv"": 42, ""pr_prepa_contracts.csv"": 3}",prepa:puma_energy_caribe_llc_attn_victor_m_dominguez_re_sto_puma_energy_caribe_llc,export_ready,0.429,strict_validated,3,pr_contracts_master.csv;pr_prepa_contracts.csv;pr_subawards_master.csv,178,4,"{""restructuring"": 33, ""reconstruction"": 25, ""privatization"": 15, ""generation"": 16}",PUMA ENERGY CARIBE LLC ATTN VICTOR M DOMINGUEZ RE STO PUMA ENERGY CARIBE LLC,multi_dataset_or_high_temporal_support,validated,energy_fuel,89
2,0.75,ALSTOM,ALSTOM CARIBE INC EL,89.75,2,"{""pr_contracts_master.csv"": 40, ""pr_subawards_master.csv"": 38}",prepa:alstom_caribe_inc_el_mundo_office_building_suite,export_ready,0.75,strict_validated,2,pr_contracts_master.csv;pr_subawards_master.csv,137,4,"{""restructuring"": 30, ""reconstruction"": 22, ""privatization"": 13, ""generation"": 13}",ALSTOM CARIBE INC EL MUNDO OFFICE BUILDING SUITE,validated_signal_but_dirty_or_generic_canonical,review,infrastructure_contractor,78
1,0.75,ERNST & YOUNG,ERNST YOUNG LLP,20.75,2,"{""pr_contracts_master.csv"": 6, ""pr_subawards_master.csv"": 3}",prepa:ernst_young_llp_1000_scotiabank_plaza_273,export_ready,0.429,strict_validated,2,pr_contracts_master.csv;pr_subawards_master.csv,9,4,"{""privatization"": 2, ""generation"": 4, ""restructuring"": 2, ""reconstruction"": 1}",ERNST YOUNG LLP 1000 SCOTIABANK PLAZA 273,multi_dataset_or_high_temporal_support,validated,legal,9
,0.75,BLACK & VEATCH,BLACK VEATCH PUERTO RICO PSC,279.75,2,"{""pr_contracts_master.csv"": 42, ""pr_subawards_master.csv"": 226}",prepa:black_veatch_puerto_rico_psc_centro_internacional,export_ready_manual_promotion,0.857,manual_promote_known_utility_engineering_actor,,,,4,"{""generation"": 74, ""restructuring"": 57, ""reconstruction"": 56, ""privatization"": 81}",BLACK VEATCH PUERTO RICO PSC CENTRO INTERNACIONAL,validated_signal_but_dirty_or_generic_canonical,review,infrastructure_contractor,268
,0.75,ECOELECTRICA,ECOELECTRICA LP,64.75,2,"{""pr_contracts_master.csv"": 41, ""pr_subawards_master.csv"": 12}",prepa:ecoelectrica_lp_attn_carlos_reyes_plaza_scotiabank_suite,export_ready_manual_promotion,0.625,manual_promote_known_generation_energy_actor,,,,4,"{""restructuring"": 13, ""reconstruction"": 14, ""privatization"": 15, ""generation"": 11}",ECOELECTRICA LP ATTN CARLOS REYES PLAZA SCOTIABANK SUITE,validated_signal_but_dirty_or_generic_canonical,review,energy_fuel,53
,0.75,AAFAF,RICO FISCAL AGENCY AND FINANCIAL ADVISORY AUTHORITY GREENBERG,39.75,2,"{""pr_contracts_master.csv"": 24, ""pr_subawards_master.csv"": 4}",prepa:rico_fiscal_agency_and_financial_advisory_authority_greenberg,export_ready_manual_promotion,0.125,manual_promote_public_fiscal_authority_context_only,,,,4,"{""restructuring"": 6, ""reconstruction"": 5, ""privatization"": 11, ""generation"": 6}",RICO FISCAL AGENCY AND FINANCIAL ADVISORY AUTHORITY GREENBERG,public_authority_or_self_node,review,legal,28
,0.75,PROSKAUER ROSE,PROSKAUER ROSE LLP,22.25,1,"{""pr_contracts_master.csv"": 12}",prepa:proskauer_rose_llp,export_ready_manual_promotion,0.333,manual_promote_known_restructuring_counsel,,,,4,"{""restructuring"": 1, ""reconstruction"": 1, ""privatization"": 7, ""generation"": 3}",PROSKAUER ROSE LLP,needs_corrob_or_alias_resolution,review,legal,12
,0.75,FREEPOINT COMMODITIES,FREEPOINT COMMODITIES LLC,17.25,1,"{""pr_contracts_master.csv"": 7}",prepa:freepoint_commodities_llc_attn_brandon_diket_freepo_int,export_ready_manual_promotion,0.25,manual_promote_known_fuel_commodity_actor,,,,4,"{""privatization"": 2, ""restructuring"": 2, ""reconstruction"": 2, ""generation"": 1}",FREEPOINT COMMODITIES LLC ATTN BRANDON DIKET FREEPO INT,needs_corrob_or_alias_resolution,review,energy_fuel,7
,0.75,VITOL,VITOL INC,17.25,1,"{""pr_contracts_master.csv"": 7}",prepa:vitol_inc_attn_gregory_g_garre_francisco_g,export_ready_manual_promotion,0.25,manual_promote_known_fuel_commodity_actor,,,,4,"{""privatization"": 2, ""restructuring"": 2, ""reconstruction"": 2, ""generation"": 1}",VITOL INC ATTN GREGORY G GARRE FRANCISCO G,needs_corrob_or_alias_resolution,review,energy_fuel,7
,0.75,PAUL HASTINGS,PAUL HASTINGS LLP,10.25,1,"{""pr_contracts_master.csv"": 4}",prepa:paul_hastings_llp,export_ready_manual_promotion,0.333,manual_promote_known_restructuring_counsel,,,,2,"{""restructuring"": 2, ""reconstruction"": 2}",PAUL HASTINGS LLP,needs_corrob_or_alias_resolution,review,legal,4
